url,trip_country,trip heading/title,package_name,duration,ratings,reviews,total_price,price_per_day,arrival_city,departure_city,lodging_level,meals,trip_grade,max_altitude,attraction,activity,styles,day,itinerary,Max_altitude,walking_hiking
https://www.himalayanglacier.com/trips/everest-base-camp-luxury-lodge-trek/,Nepal,Everest Base Camp Luxury Trek | Everest Luxury Trek | luxury lodges,Everest Base Camp Luxury Lodge Trek,,4.8,(19 Reviews),"US $2,653","
US $177 per day","Kathmandu, Nepal","Kathmandu, Nepal",(Yatri Suites and Spa),"13 dinner, 14 breakfast, 11 lunch",Demanding,"5,545m/18,193ft",Trekking and Hiking,"Active Adventures, Luxury Tour",,Day 01, Arrival in Kathmandu ,"1,350m/4,429ft",
https://www.himalayanglacier.com/trips/annapurna-base-camp-trek/,Nepal,Annapurna Base Camp Trek - Annapurna Base Camp Short Trek,Annapurna Base Camp Trek,,5.0,(54 Reviews),"US $1,750","
US $159 per day","Kathmandu, Nepal","Kathmandu, Nepal",(Yatri Suites and Spa),"9 dinner, 10 breakfast, 8 lunch",Moderate+Demanding,"4,130m/13,551ft","Ghandruk, Pokhara, Annapurna Base Camp",Trekking and Hiking,Active Adventures,Day 01, Arrival in Kathmandu and trip preparation ,"1,350m/4,429ft",5-6 hrs
https://www.himalayanglacier.com/trips/mardi-himal-trek/,Nepal,Mardi Himal Trek | Mardi Himal Base Camp Trek Nepal,Mardi Himal Trek,,5.0,(8 Reviews),"US $1,945","
US $195 per day","Kathmandu, Nepal","Kathmandu, Nepal",(Yatri Suites and Spa),"8 dinner, 9 breakfast, 6 lunch",Moderate,"3,540m/11,615ft",Trekking and Hiking,,,Day 01, Arrival in Kathmandu ,"1,350m/4,429ft",
https://www.himalayanglacier.com/trips/everest-base-camp-trek-via-gokyo-lakes/,Nepal,Everest Base Camp Trek via Gokyo Lakes and Cho la Pass,Everest Base Camp Trek via Gokyo Lakes and Cho La Pass,,,,"US $2,513","
US $140 per day","Kathmandu, Nepal","Kathmandu, Nepal",(Yatri Suites and Spa),"16 dinner, 17 breakfast, 14 lunch",Demanding,"5,545m/18,193ft",Trekking and Hiking,Active Adventures,,Day 01, Arrival in Kathmandu ,"1,350m/4,429ft",
https://www.himalayanglacier.com/trips/mera-peak-climbing/,Nepal,Mera Peak Climbing | Mera Peak Expedition | Mera Peak Nepal,Mera Peak Climbing,,4.7,(11 Reviews),"US $3,130","
US $174 per day","Kathmandu, Nepal","Kathmandu, Nepal",(Yatri Suites and Spa),"17 dinner, 17 breakfast, 14 lunch",Demanding+Challenging,"6,461m/21,199ft",Climbing and Expedition,Extreme Adventures,,Day 01, Arrival in Kathmandu ,"1,350m/4,429ft",
https://www.himalayanglacier.com/trips/everest-base-camp-trek/,Nepal,Everest Base Camp Trek : A Complete Guide for Everest Hiker,Everest Base Camp Trek,,5.0,(47 Reviews),"US $2,309","
US $144 per day","Kathmandu, Nepal","Kathmandu, Nepal",(Yatri Suites and Spa),"14 dinner, 15 breakfast, 12 lunch",Moderate+Demanding,"5,545m/18,193ft","Dingboche, Lobuche, Swayambhunath Stupa, Tengboche Monastery, lukla, Bouddhanath Stupa, Everest Base Camp, Kathmandu Durbar Square, Pashupatinath Temple",,Active Adventures,Day 01, Arrival in Kathmandu,"1,350m/4,429ft",
https://www.himalayanglacier.com/trips/everest-base-camp-short-trek/,Nepal,Everest Base Camp Short Trek | Mount Everest Base Camp Trekking,Everest Base Camp Short Trek,,5.0,(64 Reviews),"US $2,099","
US $150 per day","Kathmandu, Nepal","Kathmandu, Nepal",(Yatri Suites and Spa),"13 dinner, 13 breakfast, 11 lunch",Demanding,"5,545m/18,193ft","Tengboche Monastery, Namche Bazaar, Everest Base Camp",Trekking and Hiking,Active Adventures,Day 01, Arrival in Kathmandu and trip preparation ,"1,350m/4,429ft",3-4 hrs
https://www.himalayanglacier.com/trips/annapurna-circuit-trek/,Nepal,Annapurna Circuit Trek - Classic Trekking Trail of Nepal,Annapurna Circuit Trek,,5.0,(23 Reviews),"US $2,212","
US $105 per day","Kathmandu, Nepal","Kathmandu, Nepal",(Yatri Suites and Spa),"18 dinner, 20 breakfast, 17 lunch",Demanding,"5,416m/17,770ft","Swayambhunath Stupa, Bouddhanath Stupa, Thorong la pass, Muktinath, Marpha, Ghorepani, Ghandruk, Manang, Kathmandu Durbar Square",,Active Adventures,Day 01, Arrival in Kathmandu ,"1,350m/4,429ft",
https://www.himalayanglacier.com/trips/ladakh-tour-with-nubra-valley-and-pangong-lake/,India,Ladakh Tour with Nubra Valley and Pangong Lake | Nubra Valley Tour,Ladakh Tour with Nubra Valley and Pangong Lake,,,,"US $2,499","
US $312 per day","Delhi, India","Delhi, India",(Hotel Shambhala),"7 breakfast, 3 lunch, 3 dinner",Demanding,"5,578m/18,301ft","Pangong Lake, Nubra Valley, Shyrok Rivers",,Family Holiday,Day 01, Fly from Delhi to Leh ,"3,520m/11,549ft",
https://www.himalayanglacier.com/trips/island-peak-climbing-with-everest-base-camp-trek/,Nepal,Island Peak Climbing with Everest Base Camp Trek 2021/22 - Join a Group,Island Peak Climbing with Everest Base Camp Trek,,4.9,(18 Reviews),"US $3,219","
US $169 per day","Kathmandu, Nepal","Kathmandu, Nepal",(Yatri Suites and Spa),"17 dinner, 18 breakfast, 15 lunch",Demanding+Challenging,"6,189m/20,306ft","Tengboche Monastery, Island Peak, Namche Bazaar, Everest Base Camp, Kala Patthar",Climbing and Expedition,Extreme Adventures,,,,
